name,affiliation,country
Kazuya Monden,HITACHI LTD,JP
Kazuya Okada,UNIVERSITY OF TOKYO,JP
Kazuyuki Nishida,OSAKA UNIVERSITY,JP
Kazuyuki Shudo,TOKYO INSTITUTE OF TECHNOLOGY,JP
Kazuyuki Tasaka,KDDI CORPORATION,JP
Ke Jia,HUAWEI TECHNOLOGIES,CN
Ke Sun,NATIONAL RADIO AND TELEVISION ADMINISTRATION,CN
Ke Xu,TSINGHUA UNIVERSITY,CN
Keerthi Shankar Sekar,MICROSOFT,EE
Kefa Rabah,BONDO UNIVERSITY COLLEGE,KE
Kei Kato,OKI ELECTRIC INDUSTRY CO LTD,JP
Kei Takeshita,NTT,JP
Keiichi Sakakima,OSAKA CITY UNIVERSITY,JP
Keiichiro Yamakawa,FUJITSU LIMITED,JP
Keiji Sakaguchi,PANASONIC CORPORATION,JP
Keisuke Ishibashi,NTT,JP
Keisuke Minami,TOSHIBA,JP
Keisuke Takemori,KDDI CORPORATION,JP
Keita Nishimura,"RAKUTEN, INC.",JP
Keita Watanabe,CISCO SYSTEMS INC,JP
Keith Burns,CISCO SYSTEMS INC,US
Keith Davidson,INTERNETNZ,NZ
Keith Drage,ALCATEL-LUCENT S.A,GB
Keith Galway,ALCATEL-LUCENT S.A,CA
Keith Mainwaring,CISCO SYSTEMS INC,SE
Keith Mitchell,DNS-OARC,US
Keith Moore,NETWORK HERETICS,US
Keith Nolan,INTEL CORPORATION,IE
Keith Scott,"MITRE CORPORATION, THE",US
Kelen Lapo,UNIVERSIDAD NACIONAL DE LOJA,EC
Kelli Webber,UNIVERSITY OF NEW HAMPSHIRE,US
Kelvin Chia,EQUINIX,SG
Ken Carlberg,FCC - FEDERAL COMMUNICATIONS COMMISSION,US
Ken Gray,CISCO SYSTEMS INC,US
Ken Hansen,FARSIGHT SECURITY,US
Ken Murchison,FASTMAIL,US
Ken Peirce,GENERAL MOTORS COMPANY,US
Ken Rehor,CISCO SYSTEMS INC,US
Ken Renard,ICF,US
Ken Ueki,FURUKAWA ELECTRIC,JP
Ken Wakasa,JAPAN DATA COMMUNICATIONS ASSOCIATION,JP
Ken Watanabe,SCSK CORPORATION,JP
Keng Lim,ECI TELECOM,US
Kenichi Hiragi,NTT,JP
Kenichi Mase,NIIGATA UNIVERSITY,JP
Kenichi Nagami,INTEC INC.,JP
Kenichi Ogaki,KDDI CORPORATION,JP
Kenichi Sakamoto,HITACHI LTD,JP
Kenichi Sato,AEP NETWORKS,JP
Kenji Baheux,GOOGLE,JP
Kenji Fujihira,HITACHI LTD,JP
Kenji Kumaki,KDDI CORPORATION,JP
Kenji Murata,OITDA,JP
Kenji Rikitake,NICT - NATIONAL INSTITUTE FOR INFORMATION AND COMMUNICATIONS TECHNOLOGY,JP
Kenji Tanaka,NA,JP
Kennedy Odhiambo Aseda,KENYA EDUCATION NETWORK,KE
Kenneth Bannister,ONSET,US
Kenneth Boyden,IETF - INTERNET ENGINEERING TASK FORCE,US
Kenneth Calvert,UNIVERSITY OF KENTUCKY,US
Kenneth Cartwright,TNSI,US
Kenneth Chung,HONG KONG INTERNET REGISTRATION CORPORATION LIMITED,HK
Kenneth Hann,TELLABS,FI
Kenneth Kinnear,CISCO SYSTEMS INC,US
Kenneth Murchison,FASTMAIL US LLC,US
Kenneth Paterson,RHUL,GB
Kenneth Rehor,CISCO SYSTEMS INC,US
Kenneth Sundell,ALCATEL-LUCENT S.A,SE
Kenneth Vaughn,TREVILON LLC,US
Kenneth Wan,NOKIA,CA
Kenny Hong,CALIX,US
Kenny Shen,COMMONS HOST,SG
Kensaku Komatsu,NTT,JP
Kensaku Masuda,XEROX CORPORATION,JP
Kent Landfied,MCAFEE,US
Kent Landfield,INTEL CORPORATION,US
Kent Watsen,WATSEN NETWORKS,US
Kenta Kawakami,NTT,JP
Kentaro Ebisawa,TOYOTA,JP
Kentaro Ikemoto,FUJITSU LIMITED,JP
Kentaro Ishizu,NICT - NATIONAL INSTITUTE FOR INFORMATION AND COMMUNICATIONS TECHNOLOGY,JP
Kentaro Ogawa,NTT,JP
Keolebogile Rantsetse,LIMKOKWING UNIVERSITY OF CREATIVE TECHNOLOGY,BW
Kepeng Li,ALIBABA GROUP,CN
Kerim Fouli,CODE ON,US
Kerry Brabble,BRIGHT HOUSE,US
Kerry Brown,KDB SYSTEMS,CA
Kerry Lynn,ORACLE,US
Kervin Pillay,ACME PACKET,US
Kesavan Thiruvenkatasamy,CISCO SYSTEMS INC,US
Ketan Singh,N.A,IN
Ketan Talaulikar,CISCO SYSTEMS INC,IN
Keunhyun Kim,SK TELECOM CO LTD,KR
Keven Haining,U S BANK,US
Kevin Banduah,RAY SERVICES SL LTD,SL
Kevin Borgolte,PRINCETON UNIVERSITY,US
Kevin Carter,LIVE WIRE CONSULTANTS,US
Kevin Dubray,JUNIPER NETWORKS,US
Kevin Fall,NEFELI NETWORKS,US
Kevin Fleming,DIGIUM,US
Kevin Glavin,RIVERBED TECHNOLOGIES,US
Kevin Gross,AVA NETWORKS,US
Kevin Igoe,U.S. DEPARTMENT OF DEFENSE,US
Kevin Jones,NASA,US
Kevin Lahey,ORACLE,US
Kevin Lusoka,AMITY UNIVERSITY,IN
Kevin Mills,U.S. DEPARTMENT OF COMMERCE,US
Kevin Parks,U S BANK,US
Kevin Regan,CISCO SYSTEMS INC,GB
Kevin Shatzkamer,CISCO SYSTEMS INC,US
Kevin Smith,VODAFONE GROUP PLC,GB
Kevin Sutherland,ACMA,AU
Kevin Vermeulen,SORBONNE UNIVERSITY,FR
Kevin Wang,JUNIPER NETWORKS,US
Kevin Weiss,HAW HAMBURG,DE
Kevine Ndum,DENIS MIKI FOUNDATION,CM
Keyur Patel,ARRCUS,US
Keyutr Patel,CISCO SYSTEMS INC,US
Khaja Waseem Uddin,CLIENT SOLUTIONS,IN
Khaldun Maruf,NTT,US
Khaled Koubaa,ICANN,FR
Khaled Mohammed,FREELANCER,AO
Khaled Omar,THE ROAD,EG
Khalid Elshatali,VERIZON,US
Khalid Guma,ILNET,UG
Khalid Jawaid,CISCO SYSTEMS INC,GB
Khalid Makki,ASU,JO
Khalid Samara,MIDDLE EAST NETWORK OPERATORS GROUP,JO
Khanista Namee,KMUTNB,TH
Khong Minh,LAPTOP CALI,AT
Khoudia Gueye Ep Sy,UNIVERSITY CHEIKH ANTA DIOP OF DAKAR,SN
Khuzema Pithewan,INFINERA CORP,US
Ki-Hoon Sung,KISA KOREAN INFORMATION SECURITY AGENCY,KR
Ki-Hyuk Nam,FRIESTY,KR
Ki-Hyung Kim,AJOU UNIVERSITY,KR
Ki-Joune Li,PUSAN NATIONAL UNIVERSITY,KR
Kien Nguyen,CHIBA UNIVERSITY,JP
Kifah Meeran,CYBERSTORM,MU
Kihoon Lee,LG ELECTRONICS,KR
Kill Will,IRS.,VA
Kim Davies,ICANN,US
Kim Eunsook,ETRI - ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE,KR
Kim K,"VERISIGN INTERNATIONAL HOLDINGS, INC.",US
Kim Keecheon,KONKUK UNIVERSITY,KR
Kim Laraqui,ERICSSON AB,SE
Kimberly Moeltner,U.S. ARMY,US
Kimberly Paulhamus,GOOGLE,US
Kingsley Boateng,UNIVERSITY OF PROFESSIONAL STUDENTS ACCRA,GH
Kingsley Olatunde,UNIVERSITY OF LAGOS,NG
Kingston Selvaraj,IP INFUSION,IN
Kinnar Patel,A. S. TECHNOLOGIES,IN
Kinuko Toyama,GOOGLE,JP
Kipp Jones,SKYHOOK,US
Kira Allmann,UNIVERSITY OF OXFORD,GB
Kiran Ambardekar,XORIANT,IN
Kiran Chittimaneni,WEWORK,US
Kiran Kella,BROADCOM CORP,IN
Kiran Koushik Agrahara Sreenivasa,"BROCADE COMMUNICATIONS SYSTEMS, INC",US
Kiran Kumar Kella,BROADCOM CORP,IN
Kiran Makhijani,HUAWEI TECHNOLOGIES,US
Kiran Sasidharan Pillai,CISCO SYSTEMS INC,US
Kireeti Kompella,JUNIPER NETWORKS,US
Kirill Kasavchenko,ARBOR NETWORKS,DE
Kirsten Machi,AMS,US
Kirsty Paine,NCSC,GB
Kirti Yadav,AMITY UNIVERSITY,IN
Kishan Takoordyal,CYBERSTORM.MU,MU
Kishore Tiruveedhula,JUNIPER NETWORKS,US
Kishwer Abdul Khaliq,UNIVERSITY OF BREMEN,DE
Kisione Finau,THE UNIVERSITY OF THE SOUTH PACIFIC,FJ
Kissi Mohamed Hosni,SOTETEL,TN
Kitimbo Ben Kyemba,RESEARCH AND EDUCATION NETWORK FOR UGANDA,UG
Kittinan Sriprasert,BKNIX,TH
Kiyoaki Kawaguchi,YASKAWA INFORMATION SYSTEMS,JP
Kiyoharu Okagaki,HIROSHIMA CITY UNIVERSITY,JP
Kiyohisa Suzuki,JAPAN AEROSPACE EXPLORATION AGENCY,JP
Kiyoshi Fukui,OKI ELECTRIC INDUSTRY CO LTD,JP
Kiyoshi Inoue,SOUM CORPORATION,JP
Klaas Wierenga,CISCO SYSTEMS INC,NL
Klaus Hartke,ERICSSON AB,SE
Klaus Martini,CISCO SYSTEMS INC,DE
Klaus Nieminen,TRAFICOM,FI
Klaus Wehmuth,LNCC,BR
Klaus Wehrle,RWTH AACHEN UNIVERSITY,DE
Klement Streit,UNIBW,DE
Kobina Dadzie,WILJOK CHILD AID AND HEALTH FOUNDATION,GH
Koen De Schepper,NOKIA,BE
Koen Vos,"SKYPE, INC",US
Koffi Dzogbema,AFRIGLOBAL BUSINESS SARL U,TG
Koffi Fabrice Djossou,ZACR,ZA
Koffi Tayoro Olivier Stephane,ATHEA GROUP,CI
Kofi Kwarteng-Ahenkan,SHARDFO-TECH COMPANY LIMITED,GH
Kohei Isobe,SECOM,JP
Kohei Kasamatsu,NTT,JP
Kohei Ogura,CISCO SYSTEMS INC,JP
Kohei Shiomoto,NTT,JP
Kohei Ueno,GOOGLE,JP
Koichi Kinoshita,JUNIPER NETWORKS,JP
Koichi Kunitake,"BROADBAND TOWER, INC.",JP
Koichi Narasaki,IP INFUSION,US
Koichiro Kishi,JAPAN REGISTRY SERVICES,JP
Koji Ishihara,FUJITSU LIMITED,JP
Koji Isshiki,NTT,JP
Koji Tazoe,TOSHIBA,JP
Koji Tsukada,WAKAYAMA UNIVERSITY,JP
Kokhong Cheng,APPLE,SG
Kokou Dela-Ko Ayeh,DK CONSULTING,TG
Konan Montresor,GOUVINTERNET,CI
Kondwani Masiye,MALAWI TELECOMMUNICATIONS LIMITED,MW
Kong Diep,SIGROUPS,KH
Konrad Goleman,ALLIED TELESIS,JP
Konrad Krentz,HASSO PLATTNER INSTITUTE,DE
Konstantin Kropivny,TELUS COMMUNICATIONS INC,CA
Konstantinos Birkos,UNIVERSITY OF PATRAS,GR
Konstantinos Brokalakis,ATOS,GR
Konstantinos Katsaros,INTRACOM S.A TELECOM SOLUTIONS,GR
Konstantinos Samdanis,HUAWEI TECHNOLOGIES,DE
Koojana Kuladinithi,UNIVERSITY OF BREMEN,DE
Koshiro Mitsuya,LEPIDUM CO. LTD.,JP
Kossi Nutefe Eyram Seba,CEET,TG
Kostas Pentikousis,TRAVELPING GMBH,DE
Kosuke Onoyama,YAMAHA CORPORATION,JP
Kosuke Tomonaga,SOFTBANK MOBILE CORP.,JP
Kotaro Kataoka,INDIAN INSTITUTE OF TECHNOLOGY,IN
Kotaro Oki,KEIO UNIVERSITY,JP
Kotikalapudi Sriram,U.S. DEPARTMENT OF COMMERCE,US
Kouassi Denis,LARIT,CI
Kouichi Okada,NTT,JP
Kouichi Tashima,HIROSHIMA UNIVERSITY,JP
Kouji Nishimura,HIROSHIMA UNIVERSITY,JP
Kouji Okada,LEPIDUM CO. LTD.,JP
Koulengana Minimbou Lidia Claudette,SOCIETE ESPELA SYSTEM,CG
Koushik Kar,RENSSELAER POLYTECHNIC INSTITUTE,US
Koutarou Suzuki,NTT,JP
Kragbe Laurka Mathieu,LARIT,CI
Krasimir Kolarov,APPLE INC.,US
Kris Michielsen,CISCO SYSTEMS INC,BE
Kris Pister,UNIVERSITY OF CALIFORNIA - BERKELEY,US
Krishna Bhandari,DRISTI TECH PVT. LTD,NP
Krishna Bhattarai,ASIAN INSTITUTE OF TECHNOLOGY,SA
Krishna Narayanaswamy,JUNIPER NETWORKS,US
Krishnan Padmanabhan,ERICSSON AB,US
Krishnaswamy Muddenahally Ananthamurthy,CISCO SYSTEMS INC,US
Krista Bennett,PEP SECURITY,LU
Kristen Wright,CISCO SYSTEMS INC,US
Kristian Poscic,ALCATEL,US
Kristof Provost,FREEBSD,BE
Krisztian Kiss,NOKIA,US
Krsek Michal,CESNET,CZ
Krzysztof Miziewicz,NOKIA,AU
Ksenia Bellman,REAL SPACES ASSOCIATION,SE
Kshitiz Shrestha,NEPAL TELECOM,NP
Kuldip Jani,SAP AG,IN
Kultida Rojviboonchai,CHULALONGKORN UNIVERSITY,TH
Kumar J,JUNIPER NETWORKS,IN
Kumar Muthuswamy,JUNIPER NETWORKS,US
Kumiko Ono,COLUMBIA UNIVERSITY,US
Kun Xiang,HUAWEI TECHNOLOGIES,CN
Kunal Krishnil Raj,TELECOM FIJI LIMITED,FJ
Kunihiko Toumura,HITACHI LTD,JP
Kunihiro Chizuwa,YAMAHA CORPORATION,JP
Kunitomo Ishii,MITSUBISHI CORPORATION,JP
Kuno Untch,DEUTSCHE TELEKOM AG,DE
Kunwadee Sripanidkulchai,CHULALONGKORN UNIVERSITY,TH
Kuo Chung Hung,NATIONAL TSINGHUA UNIVERSITY,TW
Kuor-Hsin Chang,ELSTER,US
Kurt Andersen,LINKEDIN,US
Kurt Diver,TWILIO SENDGRID,US
Kurt Erik Lindqvist,NETNOD INTERNET EXCHANGE,SE
Kurt Kristof Teichel,PHYSIKALISCH-TECHNISCHE BUNDESANSTALT,DE
Kurt Reichinger,RTR GMBH,AT
Kurt Rohloff,NJIT,US
Kurt Windisch,JUNIPER NETWORKS,US
Kurt Zeilenga,ISODE LIMITED,US
Kurtis Heimerl,UNIVERSITY OF WASHINGTON,US
Kusuyuki Abe,"NETONE SYSTEMS CO., LTD",JP
Kuyeong Oh,"TELECOMMUNICATIONS TECHNOLOGY ASSOCIATION, TTA",KR
Kwaku Owusu Ansah,GOLD COAST MEDIA,GH
Kwan Truong,"POLYCOM, INC.",US
Kwang Hyun Lee,KYUNG HEE UNIVERSITY,KR
Kwang-Koog Lee,KT CORPORATION,KR
Kwinga Kwinga Leopold,INTERNATIONAL RESEARCH GROUP AND CONSULT,CA
Kwok Ho Chan,HUAWEI TECHNOLOGIES,US
Kyei Baffour Boafoh,NANJING UNI.INFO SCI AND TECHNOLOGY,CN
Kyle Erickson,UTAH VALLEY UNIVERSITY,US
Kyle Larose,AGILICUS,CA
Kyle Nekritz,FACEBOOK,US
Kyle Ouellette,UNIVERSITY OF NEW HAMPSHIRE,US
Kyle Rose,AKAMAI TECHNOLOGIES,US
Kyohei Moriyama,HEWLETT-PACKARD COMPANY,JP
Kyoko Okuyama,E-SIDE,JP
Kyongsok Kim,BUSAN NATIONAL UNIVERSITY,KR
Kyung-Tak Lee,"SAMSUNG ELECTRONICS CO, LTD",KR
Kyung-Yeop Hong,CISCO SYSTEMS INC,US
Kyungsoo Min,SOONGSIL UNIVERSITY,KR
Kyuyeong Jeon,KAIST - KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,KR
Laban Kimotho,AFRINIC,MU
Lachlan Andrew,SWINBURNE UNIVERSITY,AU
Ladar Levison,LAVABIT LLC,US
Ladislav Lhotka,"CZ.NIC, Z.S.P.O.",CZ
Lahmadi Abdelkader,INRIA INSTITUT NATIONAL DE RECHERCHE EN INFORMATIQUE ET EN AUTOMATIQUE,FR
Lai Yi Ohlsen,MEASUREMENT LAB,US
Laifu Wang,CHINA TELECOM CORPORATION LIMITED,CN
Lakhbinder Singh,SWARN ELECTRONIC,IN
Lakshay Dudeja,AMITY UNIVERSITY,IN
Lakshmi Narayana Reddy Boreddy,SRIT,IN
Lakshmikanth Sivakumar,PRIVATE,IN
Lakshminath Dondeti,QUALCOMM INC,US
Lalit Mathur,INTERNET SERVICE PROVIDERS ASSOCIATION OF INDIA,IN
Lalit Tuty,UNIT TRUST OF INDIA,IN
Lambert Bouo Bella,ATCI,CI
Lamin Janka,GAMCEL COMPANY LTD,GB
Lamin Jawara,MINISTRY OF HEALTH AND SOCIAL WELFARE,GM
Lamine Ouedraogo,INTELIS,ML
Lan Wang,CMCC - CHINA MOBILE COMMUNICATIONS CORPORATION,CN
Lana Wu,HUAWEI TECHNOLOGIES,CN
Lance Handorf,DIGICERT,US
Landing Sarjo,JARISU TECH LAB,GM
Landry Kouadio,ARTCI,CI
Landry Okongo,MINISTERE DES POSTES ET TELECOMMUNICATION CHARGE DES NOUVELLES TECHNOLOGIE,CG
Lane Patterson,EQUINIX,US
Lanshan Zhang,BEIJING UNIVERSITY OF POSTS AND TELECOMMUNICATIONS,CN
Larry Biggs,QUADAXIS CORPORATION,US
Larry Blunk,MERIT NETWORK,US
Larry Halff,MA.GNOLIA,US
Larry Johnson,"WAASI, INC",US
Larry Masinter,ADOBE SYSTEMS,US
Larry Stefonic,WOLFSSL INC.,US
Larry Zhu,MICROSOFT,US
Lars Eggert,NETWORK APPLIANCE,FI
Lars Ellegaard,VITESSE SEMICONDUCTOR INC,DK
Lars Pedersen,TPACK,DK
Lars Wegmann,UNIBERG GMBH,DE
Lars-Goran Forsberg,LOOPIA,SE
Lars-Johan Liman,NETNOD INTERNET EXCHANGE,SE
Laura Boehm,DOD CIO,US
Laura Denardis,AMERICAN UNIVERSITY,US
Laura Feeney,UPPSALA UNIVERSITY,SE
Laura Hill,XEROX CORPORATION,US
Laura Liess,DEUTSCHE TELEKOM AG,DE
Laura Nugent,AMSL,US
Laurel Lashley,U.S. DEPARTMENT OF DEFENSE,US
Lauren Sorensen,"UCLA - UNIVERSITY OF CALIFORNIA, LOS ANGELES",US
Laurent Bureau,THALES,FR
Laurent Ciavaglia,NOKIA,FR
Laurent Dumont,APPLE INC.,US
Laurent Forogo,BSET SHOP,BF
Laurent Montini,CISCO SYSTEMS INC,FR
Laurent Pietroni,UNIVERSITE PARIS-DIDEROT,FR
Laurent Thiebaut,ALCATEL-LUCENT S.A,FR
Laurent Toutain,IMT ATLANTIQUE,FR
Laurent Vanbever,PRINCETON UNIVERSITY,US
Lauri Liuhto,UNIVERSITY OF HELSINKI,FI
Lavanya Hm,IISC,IN
Lawrence Brakmo,FACEBOOK,US
Lawrence Conroy,TELNIC,AQ
Lawrence Diji-Geske,"COVENANT UNIVERISTY, OTA",NG
Lawrence Hughes,SIXSCAPE COMMUNICATIONS,SG
Lawrence Kratzke,IBM,US
Lawrence Kreeger,CISCO SYSTEMS INC,US
Lawrence Stewart,NETFLIX INC,US
Lawrence Sunday,DANWILTHY,NG
Lawrence Sunday,IONS GROUP,NG
Layon Ribeiro Albertino,LAIOUTE,BR
Leandro Bertholdo,FEDERAL UNIVERSITY OF RIO GRANDE DO SUL,BR
Leandro Bertoni,BRAZILIAN NETWORK INFORMATION CENTER - NIC.BR,BR
Leandro Ferrari,BRAZILIAN NETWORK INFORMATION CENTER - NIC.BR,BR
Leandro Lanzieri Rodriguez,HAW HAMBURG,DE
Leandro Navarro,UNIVERSITAT POLITECNICA DE CATALUNYA,ES
Leandro Penz,"ARISTA NETWORKS, INC.",IE
Leandro Silva,UFAL-UNIVERSIDADE FEDERAL DE ALAGOAS,BR
Lee Byung Ki,NOKIA,SG
Lee Howard,"RETEVIA, LLC",US
Lee Mcgovern,SWISS RE,CH
Lee Speakman,DSTL,JP
Legbe Clarisse Bogui,ADM-BAT,CI
Lei Qiu,JUNIPER NETWORKS,US
Lei Shu,NOKIA,JP
Lei Xie,HUAWEI TECHNOLOGIES,CN
Lei Yao,SOLIEL LLC,US
Lei Zhang,CHINESE ACADEMY OF SCIENCES,CN
Leif Hedstrom,APPLE INC.,US
Leif Johansson,SUNET,SE
Lennart Schulte,AALTO UNIVERSITY,FI
Lennin Cedillo,UNIVERSIDAD NACIONAL DE LOJA,EC
Leo Tattrah,KNUST,GH
Leo Vegoda,ICANN,GB
Leo You,HUAWEI TECHNOLOGIES,CN
Leon Portman,NICE,IL
Leonar Castro,UPTC,CO
Leonard Giuliano,JUNIPER NETWORKS,US
Leonardo Linguaglossa,UNIVERSITY OF CATANIA,IT
Leonardo Maccari,UNIVERSITY OF TRENTO,IT
Leonardo Moresi,FUNESCOOP,AR
Leonardo Steller,SUTEL,CR
Leonel Requena,LOGICALIS,PE
Leonid Grossman,ORACLE,US
Leonid Reyzin,BOSTON UNIVERSITY,US
Leonie Bruckert,SECUNET,DE
Les Bloom,DOD CIO,US
Les Ginsberg,CISCO SYSTEMS INC,US
Les Leposo,APPLE INC.,US
Leslie Bloom,DOD CIO,US
Leslie Daigle,THINKING CAT ENTERPRISES,US
Lester Ginsberg,CISCO SYSTEMS INC,US
Letian Rong,ORANGE SA,JP
Lev Novikov,"MITRE CORPORATION, THE",US
Levin Cole,COLUMBUS COMMUNICATIONS,TT
Leylane Silva,UNIVERSIDADE OF PERNAMBUCO,BR
Lg Forsberg,.NU DOMAIN,SE
Lgmfthhc Jeuuhcay,ACUNETIX,AF
Lherisson Dieudonne,MINISTERE A LA CONDITION FEMININE,HT
Li Cheng,HUAWEI TECHNOLOGIES,CN
Li Lei,HUAWEI TECHNOLOGIES,CN
Li Qiang,HUAWEI TECHNOLOGIES,CN
Li Shen,HUAWEI TECHNOLOGIES,CN
Li Zhao,CISCO SYSTEMS INC,CN
Li Zhenbin,HUAWEI TECHNOLOGIES,CN
Li Zheng,ERICSSON AB,CN
Liam Hynes,"DYN, INC.",US
Lian Chong Koh,IMDA,SG
Liang Geng,CMCC - CHINA MOBILE COMMUNICATIONS CORPORATION,CN
Liang Guo,CHINA TELECOM CORPORATION LIMITED,CN
Liang Xia,HUAWEI TECHNOLOGIES,CN
Liang-Chih Shang Kuan,WIKIMEDIA TAIWAN,TW
Liangzhong Gong,HUAWEI TECHNOLOGIES,US
Lianyuan Li,CMCC - CHINA MOBILE COMMUNICATIONS CORPORATION,CN
Lieven Levrau,ALCATEL-LUCENT S.A,FR
Lihan Fan,ZTE,CN
Lijo Thomas,C-DAC,IN
Lijuan Chen,HUAWEI TECHNOLOGIES,CN
Lijun Dong,HUAWEI TECHNOLOGIES,US
Lili Tang,CHINA MOBILE GROUP DESIGN ISTITUTE CO.LTD,CN
Lili Wang,JUNIPER NETWORKS,US
Liliana Dinale,ERICSSON AB,CA
Lilla Dovner,ERICSSON AB,SE
Liming Wei,CISCO SYSTEMS INC,US
Lin Biyi,HUAWEI TECHNOLOGIES,CN
Lin Cui,JINAN UNIVERSITY,CN
Lin Han,HUAWEI TECHNOLOGIES,US
Lin He,TSINGHUA UNIVERSITY,CN
Lin Zhou,CHINESE ACADEMY OF SCIENCES,CN
Lin-Jian Song,BII GROUP HOLDINGS,CN
Linda Dunbar,HUAWEI TECHNOLOGIES,US
Linda Mclin,PELLISSIPPI STATE COMMUNITY COLLEGE,US
Linda Ruby Uriko-Kang,UPSA,GH
Linfeng Zheng,CHA CONSULTING FIRM,CN
Lingsheng Zhang,SHANGHAI UNIVERSITY OF FINANCE AND ECONOMICS,CN
Lingsheng Zhang,FUJIAN NORMAL UNIVERSITY,CN
Linus Nordberg,SUNET,SE
Lio Perrin,INRIA INSTITUT NATIONAL DE RECHERCHE EN INFORMATIQUE ET EN AUTOMATIQUE,FR
Lionel Hoffmann,BOUYGUES TELECOM,FR
Lionel Morand,ORANGE SA,FR
Liqiang Zhu,MICROSOFT,US
Liqin Dong,CISCO SYSTEMS INC,US
Liqing Huang,ZTE,CN
Lirida Hernandez Martinez,NETWORK INFORMATION CENTER MEXICO,MX
Lisa Christelle Tchouwa,ETS CABARET LA TAMALA,CM
Lisa Dusseault,LINDEN LAB RESEARCH,CA
Lisa Huang,JUNIPER NETWORKS,US
Lisa Levasseur,DYNA LLC,CA
Lisa Week,"SUN MICROSYSTEMS, INC.",US
Lisa Winkler,AMS,US
Lisandro Granville,FEDERAL UNIVERSITY OF RIO GRANDE DO SUL,BR
Lishan Li,TSINGHUA UNIVERSITY,CN
Lito Ibarra,LACNIC,SV
Liu Guoman,ZTE,CN
Lixia Zhang,"UCLA - UNIVERSITY OF CALIFORNIA, LOS ANGELES",US
Lixin Zhang,ALCATEL-LUCENT S.A,CN
Liz Flynn,AMS,US
Liz Williams,AUDOMAIN ADMINISTRATION,AU
Lizan Zhou,GOOGLE,US
Lledera Hollen,CHANELL AND FRIENDS,US
Lloyd Wood,CISCO SYSTEMS INC,GB
Loa Andersson,BRONZE DRAGON CONSULTING,SE
Lode Vandevenne,GOOGLE,CH
Loganaden Velvindron,CYBERSTORM.MU,MU
Loiseau Lucien,RIGHTMESH,SG
Loki Jorgenson,APPARENT NETWORKS,CA
Lopez Diego,TELEFONICA S.A.,ES
Lorand Jakab,UNIVERSITAT POLITECNICA DE CATALUNYA,ES
Lorenz Bauer,CLOUDFLARE,GB
Lorenz Rasch,BERN UNIVERSITY OF APPLIED SCIENCES,CH
Lorenzo Colitti,GOOGLE,JP
Lorenzo Ghiro,UNIVERSITY OF TRENTO,IT
Lorenzo Grosselli,TRENTINO NETWORK S.R.L.,IT
Lorenzo Miniero,"MEETECHO S.R.L,",IT
Lorenzo Saino,UNIVERSITY COLLEGE LONDON,GB
Lorenzo Vangelista,PATAVINA TECHNOLOGIES S.R.L.,IT
Lorenzo Vicisano,QUALCOMM INC,US
Lossan Bonde,ADVENTIST UNIVERSITY OF AFRICA,KE
Lothar Braun,TECHNICAL UNIVERSITY MUNICH,DE
Lothar Zier,DEUTSCHE TELEKOM AG,DE
Louis Berger,"LABN CONSULTING, L.L.C.",US
Louis Chan,JUNIPER NETWORKS,HK
Louis Fourie,HUAWEI TECHNOLOGIES,US
Louis Garwood,CIS,US
Louis Lee,EQUINIX,US
Louis Napoleon Casambre,DOST-INFORMATION AND COMMUNICATIONS TECHNOLOGY OFFICE,PH
Louis Steinberg,CTM INSIGHTS,US
Louis Trager,WASHINGTON INTERNET DAILY,US
Lourino Chemane,"MINISTRY OF SCIENCE AND TECHNOLOGY, HIGHER AND TECHNIC PROFESSIO",MZ
Love Hornquist Astrand,APPLE INC.,US
Lu Bai,HUAWEI TECHNOLOGIES,CN
Lu Huang,CMCC - CHINA MOBILE COMMUNICATIONS CORPORATION,CN
Luan Almeida,UFAL-UNIVERSIDADE FEDERAL DE ALAGOAS,BR
Luay Jalil,VERIZON,US
Lubna Dajani,INTERCEDE,US
Luc Andre Burdet,CISCO SYSTEMS INC,CA
Luca Frosini,ISTI-CNR,IT
Luca Martini,CISCO SYSTEMS INC,US
Luca Muscariello,CISCO SYSTEMS INC,FR
Luca Niccolini,FACEBOOK,US
Luca Ugo Maria Barbato,LUMINEM SRLS,IT
Lucas Andrade,UNIVERSITY OF PERNAMBUCO,BR
Lucas Arbiza,BRAZILIAN NATIONAL RESEARCH AND EDUCATIONAL NETWORK,BR
Lucas Bates,MOJATATU NETWORKS,CA
Lucas Bondan,FEDERAL UNIVERSITY OF RIO GRANDE DO SUL,BR
Lucas Estienne,CIRA - CANADIAN INTERNET REGISTRATION AUTHORITY,CA
Lucas Muller,FEDERAL UNIVERSITY OF RIO GRANDE DO SUL,BR
Lucas Pardue,CLOUDFLARE,GB
Lucas Santana,UFAL-UNIVERSIDADE FEDERAL DE ALAGOAS,BR
Luccas Augusto,UFAL-UNIVERSIDADE FEDERAL DE ALAGOAS,BR
Lucia Ballard,APPLE INC.,US
Lucia Cab,UNIVERSIDAD AUTONOMA DE YUCATAN,MX
Lucian Suciu,ORANGE SA,FR
Luciano Minuchin,MXTOOLS,AR
